"aca.fav","tea.party","exp.medicaid","state","race","income","sex","age","education","month","year","polling.org"
0,NA,0,"TX","White","$75,000+","Male","45-64","high school graduate","July","2012","Kaiser"
0,0,0,"LA","White","$40,000-$75,000","Female","30-44","postgraduate","July","2012","Kaiser"
1,0,0,"CA","White",NA,"Male","30-44","some college","July","2012","Kaiser"
0,0,0,"CA","Hispanic","$20,000-$40,000","Female","30-44","high school graduate","July","2012","Kaiser"
1,0,1,"GA","Black","$20,000-$40,000","Female","45-64","postgraduate","July","2012","Kaiser"
0,1,0,"FL","White","$75,000+","Male","45-64","college graduate","July","2012","Kaiser"
NA,NA,1,"WA","White","$20,000-$40,000","Male","30-44","some college","July","2012","Kaiser"
1,0,1,"TX","White","$75,000+","Male","30-44","postgraduate","July","2012","Kaiser"
0,0,1,"OR","Hispanic","$40,000-$75,000","Female","30-44","college graduate","July","2012","Kaiser"
1,0,1,"GA","Black","$75,000+","Male","45-64","some college","July","2012","Kaiser"
0,1,0,"CA","White","$20,000-$40,000","Male","45-64","some college","July","2012","Kaiser"
1,0,1,"CA","White","$75,000+","Male","65+","college graduate","July","2012","Kaiser"
NA,0,1,"CA","White","$75,000+","Female","45-64","college graduate","July","2012","Kaiser"
NA,0,0,"NC","White","$40,000-$75,000","Male","18-29","high school graduate","July","2012","Kaiser"
0,1,NA,"TN","White","$75,000+","Male","30-44","college graduate","July","2012","Kaiser"
0,1,1,"VA","White","$20,000-$40,000","Female","45-64","some college","July","2012","Kaiser"
0,1,0,"AL","White","$75,000+","Male","65+","college graduate","July","2012","Kaiser"
1,0,1,"WA","White","$75,000+","Female","30-44","postgraduate","July","2012","Kaiser"
1,0,1,"AR","White","$20,000-$40,000","Male","30-44","high school graduate","July","2012","Kaiser"
0,1,0,"GA","White","$40,000-$75,000","Male","45-64","some college","July","2012","Kaiser"
NA,0,1,"CA","White","$20,000-$40,000","Female","18-29","some college","July","2012","Kaiser"
NA,1,1,"OR","White","$20,000-$40,000","Female","45-64","high school graduate","July","2012","Kaiser"
1,0,0,"OR","White","$40,000-$75,000","Male","18-29","college graduate","July","2012","Kaiser"
1,0,1,"TX","Hispanic","$20,000-$40,000","Female","18-29","some college","July","2012","Kaiser"
1,0,1,"CO","White","$75,000+","Male","65+","some college","July","2012","Kaiser"
0,1,0,"ID","White","$20,000-$40,000","Male","45-64","high school graduate","July","2012","Kaiser"
1,0,1,"KS","White","$40,000-$75,000","Male","65+","postgraduate","July","2012","Kaiser"
0,0,0,"SC","White","$75,000+","Male","30-44","postgraduate","July","2012","Kaiser"
0,1,0,"TX","White","$40,000-$75,000","Male","18-29","some college","July","2012","Kaiser"
0,0,NA,"VA","White","$20,000-$40,000","Male","30-44","less than a high school education","July","2012","Kaiser"
NA,0,1,"NE","White","$75,000+","Female","30-44","college graduate","July","2012","Kaiser"
1,0,1,"CO","White","$40,000-$75,000","Female","30-44","college graduate","July","2012","Kaiser"
1,0,1,"FL","Hispanic","$40,000-$75,000","Female","18-29","postgraduate","July","2012","Kaiser"
1,0,1,"VA","Other","$75,000+","Male","18-29","some college","July","2012","Kaiser"
0,0,0,"TX","White","$20,000-$40,000","Female","65+","some college","July","2012","Kaiser"
0,1,0,"TX","White","$40,000-$75,000","Male","30-44","some college","July","2012","Kaiser"
0,0,0,"TX","White",NA,"Male","45-64",NA,"July","2012","Kaiser"
1,0,1,"TX","White","$75,000+","Female","45-64","some college","July","2012","Kaiser"
1,1,1,"TX","Hispanic","$40,000-$75,000","Male","18-29","high school graduate","July","2012","Kaiser"
NA,0,1,"SC","White","$40,000-$75,000","Male","18-29","high school graduate","July","2012","Kaiser"
0,0,0,"SC","White","$75,000+","Male","30-44","high school graduate","July","2012","Kaiser"
NA,0,0,"GA","White","less than $20,000","Male","65+","less than a high school education","July","2012","Kaiser"
0,1,0,"TX","White",NA,"Female","45-64","college graduate","July","2012","Kaiser"
0,1,0,"KY","White","$75,000+","Female","30-44","college graduate","July","2012","Kaiser"
0,1,0,"NM","White","$75,000+","Female","65+","college graduate","July","2012","Kaiser"
1,0,1,"TX","Black","$40,000-$75,000","Male","30-44","college graduate","July","2012","Kaiser"
1,0,1,"DC","Hispanic","$40,000-$75,000","Male","18-29","some college","July","2012","Kaiser"
0,0,1,"MS","White","$20,000-$40,000","Male","30-44","college graduate","July","2012","Kaiser"
0,0,0,"NC","White",NA,"Female",NA,"college graduate","July","2012","Kaiser"
0,0,0,"SC","White","less than $20,000","Female","30-44","some college","July","2012","Kaiser"
0,0,1,"TX","Other",NA,"Female","18-29","some college","July","2012","Kaiser"
1,0,1,"TX","Hispanic","$75,000+","Female","45-64","college graduate","July","2012","Kaiser"
0,0,0,"AL","White","$40,000-$75,000","Male","65+","some college","July","2012","Kaiser"
0,1,0,"MS","White","$75,000+","Male","18-29","college graduate","July","2012","Kaiser"
NA,0,0,"NC","White","$20,000-$40,000","Male","18-29","high school graduate","July","2012","Kaiser"
0,0,0,"NY","Hispanic","$20,000-$40,000","Female","30-44","some college","July","2012","Kaiser"
0,0,1,"AL","Black","$20,000-$40,000","Male","30-44","high school graduate","July","2012","Kaiser"
1,0,NA,"DE","Black","$40,000-$75,000","Female","45-64","postgraduate","July","2012","Kaiser"
1,0,1,"VA","Black","$40,000-$75,000","Male","30-44","college graduate","July","2012","Kaiser"
1,NA,NA,"KY","White","$40,000-$75,000","Male","30-44","college graduate","July","2012","Kaiser"
0,0,1,"NJ","White",NA,"Female","18-29","high school graduate","July","2012","Kaiser"
1,0,0,"MI","White","$75,000+","Female","18-29","college graduate","July","2012","Kaiser"
1,0,1,"MI","White","$40,000-$75,000","Male","18-29","college graduate","July","2012","Kaiser"
0,1,0,"SD","White","$40,000-$75,000","Male","45-64","college graduate","July","2012","Kaiser"
NA,0,0,"NY","White","$20,000-$40,000","Male","45-64","college graduate","July","2012","Kaiser"
0,0,0,"CA","White","$75,000+","Female","45-64","postgraduate","July","2012","Kaiser"
0,0,0,"PA","White","$20,000-$40,000","Male","30-44","some college","July","2012","Kaiser"
1,1,1,"MI","Other","$75,000+","Male","18-29","high school graduate","July","2012","Kaiser"
1,0,1,"MI",NA,"$75,000+","Male","30-44","college graduate","July","2012","Kaiser"
0,0,0,"NY","Hispanic",NA,"Male","30-44","high school graduate","July","2012","Kaiser"
0,NA,1,"AZ","White","$75,000+","Female","30-44","college graduate","July","2012","Kaiser"
0,NA,1,"OH",NA,NA,"Female","30-44","college graduate","July","2012","Kaiser"
NA,0,1,"IN","White","$20,000-$40,000","Male","18-29","less than a high school education","July","2012","Kaiser"
1,0,1,"MN","Black","less than $20,000","Male","30-44","high school graduate","July","2012","Kaiser"
NA,0,0,"CA","Other","less than $20,000","Male","18-29","high school graduate","July","2012","Kaiser"
1,0,1,"VA","White","$75,000+","Female","45-64","postgraduate","July","2012","Kaiser"
0,0,0,"MN","White","$40,000-$75,000","Male","45-64","some college","July","2012","Kaiser"
0,0,0,"IA","White","$20,000-$40,000","Male","18-29","college graduate","July","2012","Kaiser"
0,1,1,"VA","White","$75,000+","Male","45-64","some college","July","2012","Kaiser"
0,0,1,"OH","White","$75,000+","Female","30-44","college graduate","July","2012","Kaiser"
1,1,0,"NJ","White","$40,000-$75,000","Female","30-44","postgraduate","July","2012","Kaiser"
0,0,NA,"KY","White","$75,000+","Male","45-64","high school graduate","July","2012","Kaiser"
NA,0,1,"WV","White",NA,"Female","18-29","high school graduate","July","2012","Kaiser"
1,0,1,"WA","White","less than $20,000","Female","45-64","postgraduate","July","2012","Kaiser"
1,0,1,"MA","White","$75,000+","Female","45-64","postgraduate","July","2012","Kaiser"
0,1,1,"GA","White","$75,000+","Male","65+","college graduate","July","2012","Kaiser"
1,0,1,"NY","White","$75,000+","Male","18-29","high school graduate","July","2012","Kaiser"
0,0,1,"ID","White",NA,"Female","30-44",NA,"July","2012","Kaiser"
1,0,0,"TX",NA,"$75,000+","Male","45-64","some college","July","2012","Kaiser"
0,1,0,"AZ","Other","$40,000-$75,000","Female","18-29","college graduate","July","2012","Kaiser"
1,0,1,"AL","White","$75,000+","Female","45-64","college graduate","July","2012","Kaiser"
0,1,1,"TX","White","less than $20,000","Male","45-64","high school graduate","July","2012","Kaiser"
0,1,0,"TX","White","$40,000-$75,000","Male","45-64","some college","July","2012","Kaiser"
0,0,0,"CA","Other","$75,000+","Male","30-44","postgraduate","July","2012","Kaiser"
NA,NA,1,"CA","Hispanic",NA,"Male","18-29","high school graduate","July","2012","Kaiser"
1,0,1,"CA","Other","$40,000-$75,000","Male","30-44","postgraduate","July","2012","Kaiser"
NA,0,0,"UT","White","$75,000+","Male","18-29","some college","July","2012","Kaiser"
1,0,1,"MT","Other","$40,000-$75,000","Male","30-44","high school graduate","July","2012","Kaiser"
0,0,0,"CA","White",NA,"Male","30-44","college graduate","July","2012","Kaiser"
0,1,0,"NC","White","$40,000-$75,000","Male","45-64","college graduate","July","2012","Kaiser"
0,0,1,"ID","Hispanic","$20,000-$40,000","Male","18-29","some college","July","2012","Kaiser"
0,1,NA,"TX","White",NA,"Male","30-44","high school graduate","July","2012","Kaiser"
1,0,1,"FL","White","$20,000-$40,000","Male","30-44","some college","July","2012","Kaiser"
0,0,1,"CA","White",NA,"Male","45-64","college graduate","July","2012","Kaiser"
1,0,1,"AR","Other","$75,000+","Female","45-64","postgraduate","July","2012","Kaiser"
0,0,0,"OH","White",NA,"Male","45-64","some college","July","2012","Kaiser"
0,0,0,"FL","White","less than $20,000","Female","45-64","high school graduate","July","2012","Kaiser"
1,0,1,"TX","Hispanic","$40,000-$75,000","Male","18-29","some college","July","2012","Kaiser"
NA,0,0,"IL","White","$75,000+","Male","30-44","some college","July","2012","Kaiser"
1,1,0,"FL","Hispanic","$20,000-$40,000","Male","65+","some college","July","2012","Kaiser"
1,NA,NA,"CA","Hispanic","less than $20,000","Female","18-29","less than a high school education","July","2012","Kaiser"
1,0,1,"CA","White","$75,000+","Female","45-64","postgraduate","July","2012","Kaiser"
1,0,0,"FL","Hispanic","$20,000-$40,000","Male","18-29","less than a high school education","July","2012","Kaiser"
1,NA,NA,"FL","Hispanic","less than $20,000","Female","45-64","less than a high school education","July","2012","Kaiser"
0,1,0,"AL","White","$75,000+","Male","45-64","postgraduate","July","2012","Kaiser"
1,NA,NA,"VA","Hispanic","$20,000-$40,000","Male","18-29","less than a high school education","July","2012","Kaiser"
0,0,1,"AL","Black","$20,000-$40,000","Male","30-44","high school graduate","July","2012","Kaiser"
1,NA,1,"NC","Hispanic","$20,000-$40,000","Male","30-44","less than a high school education","July","2012","Kaiser"
0,0,0,"NC","White","$75,000+","Female","30-44","college graduate","July","2012","Kaiser"
1,NA,0,"CA","Hispanic","less than $20,000","Male","18-29","less than a high school education","July","2012","Kaiser"
0,1,0,"IL","White","$40,000-$75,000","Male","65+","some college","July","2012","Kaiser"
NA,0,1,"FL","Hispanic","$20,000-$40,000","Male","45-64","high school graduate","July","2012","Kaiser"
0,0,0,"AL","White",NA,"Female","45-64","college graduate","July","2012","Kaiser"
1,NA,0,"NM","Hispanic","less than $20,000","Female","45-64","high school graduate","July","2012","Kaiser"
1,0,1,"CA","Hispanic","$20,000-$40,000","Male","30-44","high school graduate","July","2012","Kaiser"
0,0,1,"WI","Hispanic","$40,000-$75,000","Male","45-64","less than a high school education","July","2012","Kaiser"
0,1,0,"OK","Black","$75,000+","Female","30-44","some college","July","2012","Kaiser"
NA,1,1,"IL","Black","$20,000-$40,000","Male","45-64","high school graduate","July","2012","Kaiser"
NA,0,1,"OK","White","$40,000-$75,000","Female","45-64","high school graduate","July","2012","Kaiser"
NA,0,1,"CO","Black","$20,000-$40,000","Male","30-44","some college","July","2012","Kaiser"
1,NA,1,"CA","White",NA,"Male","30-44","college graduate","July","2012","Kaiser"
1,0,1,"IA","White","$40,000-$75,000","Female","45-64","postgraduate","July","2012","Kaiser"
0,0,1,"IL","White","$20,000-$40,000","Female","30-44","some college","July","2012","Kaiser"
1,0,1,"VA","White","$75,000+","Female","45-64","postgraduate","July","2012","Kaiser"
0,0,1,"IL","White","$40,000-$75,000","Female","65+","high school graduate","July","2012","Kaiser"
0,0,0,"MI","White",NA,"Female","65+","college graduate","July","2012","Kaiser"
1,0,1,"MA","Black","less than $20,000","Male","45-64","less than a high school education","July","2012","Kaiser"
0,0,NA,"OH","White","$40,000-$75,000","Male","30-44","some college","July","2012","Kaiser"
0,0,0,"IL","White","$75,000+","Female","45-64","postgraduate","July","2012","Kaiser"
1,0,0,"MD","Hispanic","$40,000-$75,000","Female","18-29","high school graduate","July","2012","Kaiser"
0,0,0,"GA","White","$20,000-$40,000","Female","45-64","less than a high school education","July","2012","Kaiser"
0,1,0,"CO","White","$75,000+","Male","45-64","less than a high school education","July","2012","Kaiser"
0,0,1,"MO","Black","less than $20,000","Male","18-29","high school graduate","July","2012","Kaiser"
0,0,0,"VT","White","$40,000-$75,000","Male","45-64","some college","July","2012","Kaiser"
0,1,NA,"IA","White","$75,000+","Female","45-64","college graduate","July","2012","Kaiser"
1,0,1,"AZ","Hispanic","less than $20,000","Male","45-64","postgraduate","July","2012","Kaiser"
0,0,0,"CA","Other",NA,"Male","18-29","postgraduate","July","2012","Kaiser"
1,0,1,"MA","Black","$20,000-$40,000","Female","18-29","college graduate","July","2012","Kaiser"
1,0,NA,"IL","White","$40,000-$75,000","Female","45-64","college graduate","July","2012","Kaiser"
0,1,1,"FL","White","less than $20,000","Male","18-29","high school graduate","July","2012","Kaiser"
NA,0,1,"KS","White","$75,000+","Male","18-29","college graduate","July","2012","Kaiser"
1,0,1,"MI","White","$20,000-$40,000","Female","30-44","high school graduate","July","2012","Kaiser"
1,0,0,"FL","Hispanic","$20,000-$40,000","Male","45-64","some college","July","2012","Kaiser"
0,1,0,"WA","White","$20,000-$40,000","Female","30-44","some college","July","2012","Kaiser"
0,1,0,"FL","White","$40,000-$75,000","Male","45-64","high school graduate","July","2012","Kaiser"
0,1,0,"NE","White","$40,000-$75,000","Male","65+","college graduate","July","2012","Kaiser"
0,0,1,"CA","Hispanic","less than $20,000","Female","18-29","high school graduate","July","2012","Kaiser"
1,0,1,"CA","Hispanic","$40,000-$75,000","Female","45-64","some college","July","2012","Kaiser"
1,0,0,"MD","White","$75,000+","Male","45-64","college graduate","July","2012","Kaiser"
0,0,1,"IL","White","less than $20,000","Female","65+","high school graduate","July","2012","Kaiser"
0,1,0,"OK","White","less than $20,000","Male","45-64","less than a high school education","July","2012","Kaiser"
0,0,0,"IA","White","$20,000-$40,000","Male","45-64","postgraduate","July","2012","Kaiser"
1,0,0,"KY","White","$75,000+","Male","45-64","high school graduate","July","2012","Kaiser"
0,0,0,"VA",NA,"$75,000+","Female","30-44","college graduate","July","2012","Kaiser"
1,0,1,"WA","White","$40,000-$75,000","Female","30-44","postgraduate","July","2012","Kaiser"
0,0,1,"CA","White","$20,000-$40,000","Female","45-64","some college","July","2012","Kaiser"
0,0,0,"AZ","White","less than $20,000","Male","45-64","college graduate","July","2012","Kaiser"
0,0,1,"GA","Hispanic","$75,000+","Male","45-64","postgraduate","July","2012","Kaiser"
0,1,0,"FL","Hispanic","$75,000+","Male","45-64","postgraduate","July","2012","Kaiser"
1,NA,0,"OH","Other","$20,000-$40,000","Female","18-29","college graduate","July","2012","Kaiser"
NA,0,0,"OH","White","$40,000-$75,000","Male","18-29","high school graduate","July","2012","Kaiser"
0,NA,1,"FL","White","$20,000-$40,000","Female","45-64","college graduate","July","2012","Kaiser"
0,0,0,"FL","White","$20,000-$40,000","Male","65+","high school graduate","July","2012","Kaiser"
1,1,0,"SC","White","$75,000+","Male","18-29","less than a high school education","July","2012","Kaiser"
NA,0,1,"TX","Hispanic","$20,000-$40,000","Male","18-29","high school graduate","July","2012","Kaiser"
NA,0,1,"NC","Hispanic","$20,000-$40,000","Male","30-44","less than a high school education","July","2012","Kaiser"
0,1,0,"OH","White","$75,000+","Male","45-64","college graduate","July","2012","Kaiser"
0,1,0,"TX","White","$75,000+","Male","65+","college graduate","July","2012","Kaiser"
0,NA,NA,"WA",NA,NA,"Male",NA,NA,"July","2012","Kaiser"
NA,NA,NA,"TX","White","less than $20,000","Male","30-44","less than a high school education","July","2012","Kaiser"
0,1,0,"MO","White","$40,000-$75,000","Male","45-64","some college","July","2012","Kaiser"
0,0,0,"IN","White","$20,000-$40,000","Male","30-44","less than a high school education","July","2012","Kaiser"
0,0,0,"AL","White","$75,000+","Male","65+","college graduate","July","2012","Kaiser"
NA,0,0,"IA","White","$75,000+","Male","18-29","some college","July","2012","Kaiser"
0,0,0,"OH","White",NA,"Male","30-44","college graduate","July","2012","Kaiser"
NA,NA,NA,"CA","White","$20,000-$40,000","Female","18-29","some college","July","2012","Kaiser"
0,0,0,"TX","White","$75,000+","Male","30-44","college graduate","July","2012","Kaiser"
1,0,0,"FL","Hispanic","$20,000-$40,000","Male","30-44","some college","July","2012","Kaiser"
1,0,0,"NV","White",NA,"Female","45-64","college graduate","July","2012","Kaiser"
1,NA,1,"WA","White",NA,"Male","45-64",NA,"July","2012","Kaiser"
1,0,1,"FL","Other","$20,000-$40,000","Male","18-29","some college","July","2012","Kaiser"
0,0,1,"NY","White","$75,000+","Female","30-44","some college","July","2012","Kaiser"
1,0,1,"GA","White","$75,000+","Male","45-64","college graduate","July","2012","Kaiser"
0,1,0,"GA","White","$75,000+","Male","45-64","college graduate","July","2012","Kaiser"
1,0,0,"TX","Black","$20,000-$40,000","Male","30-44","some college","July","2012","Kaiser"
1,0,0,"NJ","White","less than $20,000","Female","18-29","college graduate","July","2012","Kaiser"
0,0,1,"NC","Black","less than $20,000","Female","30-44","some college","July","2012","Kaiser"
0,0,0,"FL","White","$75,000+","Male","45-64","some college","July","2012","Kaiser"
1,0,1,"TX","Hispanic","$75,000+","Male","45-64","some college","July","2012","Kaiser"
0,0,1,"GA","White","less than $20,000","Male","45-64","less than a high school education","July","2012","Kaiser"
0,0,1,"TX","Hispanic","less than $20,000","Female","18-29","high school graduate","July","2012","Kaiser"
1,0,0,"CA","Hispanic","$40,000-$75,000","Male","30-44","high school graduate","July","2012","Kaiser"
0,0,1,"PA","Hispanic","$20,000-$40,000","Male","30-44","some college","July","2012","Kaiser"
0,1,0,"NY","White","$75,000+","Male","65+","postgraduate","July","2012","Kaiser"
1,NA,0,"MA","Hispanic","$40,000-$75,000","Female","18-29","some college","July","2012","Kaiser"
1,0,0,"NY","Hispanic","$75,000+","Female","45-64","college graduate","July","2012","Kaiser"
0,0,1,"NH","White",NA,"Male","30-44","college graduate","July","2012","Kaiser"
1,0,1,"NV","Hispanic","less than $20,000","Female","18-29","high school graduate","July","2012","Kaiser"
1,1,1,"CA","Hispanic","$20,000-$40,000","Male","30-44","high school graduate","July","2012","Kaiser"
1,1,0,"CO","Hispanic",NA,"Female","30-44","postgraduate","July","2012","Kaiser"
1,1,0,"CA","Hispanic","less than $20,000","Male","45-64",NA,"July","2012","Kaiser"
1,0,1,"OR","Hispanic","less than $20,000","Female","18-29","less than a high school education","July","2012","Kaiser"
0,0,0,"PA","White","$40,000-$75,000","Female","65+","some college","July","2012","Kaiser"
1,0,1,"NJ","White","$20,000-$40,000","Female","65+","college graduate","July","2012","Kaiser"
0,0,1,"NY","White","$20,000-$40,000","Female","45-64","high school graduate","July","2012","Kaiser"
0,0,0,"PA",NA,NA,"Female","65+","some college","July","2012","Kaiser"
0,0,0,"NY","White","$75,000+","Female","45-64","postgraduate","July","2012","Kaiser"
1,0,1,"PA","Black","less than $20,000","Female","45-64","some college","July","2012","Kaiser"
0,0,1,"PA","White","$20,000-$40,000","Male","45-64","postgraduate","July","2012","Kaiser"
1,0,1,"FL","White","$75,000+","Male","65+","some college","July","2012","Kaiser"
0,0,1,"PA","Hispanic","$20,000-$40,000","Female","18-29","high school graduate","July","2012","Kaiser"
1,0,1,"PA","White","$20,000-$40,000","Female","65+","less than a high school education","July","2012","Kaiser"
1,0,NA,"FL","White","$20,000-$40,000","Male","65+","some college","July","2012","Kaiser"
0,0,0,"NC","White","$20,000-$40,000","Female","45-64","college graduate","July","2012","Kaiser"
1,0,1,"GA","Black","$20,000-$40,000","Female","45-64","college graduate","July","2012","Kaiser"
0,0,0,"VA","White","$75,000+","Male","45-64","college graduate","July","2012","Kaiser"
1,0,1,"SC",NA,"$75,000+","Female","45-64","postgraduate","July","2012","Kaiser"
0,0,0,"FL","White","$75,000+","Male","45-64","college graduate","July","2012","Kaiser"
1,0,1,"NH","White","$75,000+","Female","18-29","postgraduate","July","2012","Kaiser"
NA,0,0,"CT","White","$40,000-$75,000","Female","45-64","some college","July","2012","Kaiser"
0,0,0,"MA","White","$40,000-$75,000","Female","65+","some college","July","2012","Kaiser"
1,0,1,"NY","White",NA,"Female","45-64","postgraduate","July","2012","Kaiser"
0,1,1,"MA","White","$40,000-$75,000","Female","45-64","some college","July","2012","Kaiser"
0,NA,0,"NY","White","$75,000+","Male","65+","some college","July","2012","Kaiser"
0,0,0,"CT","White","$40,000-$75,000","Female","65+","high school graduate","July","2012","Kaiser"
0,1,0,"WI","White","$40,000-$75,000","Female","65+","high school graduate","July","2012","Kaiser"
0,0,0,"IL","White",NA,"Female","65+","postgraduate","July","2012","Kaiser"
NA,1,1,"IL","White","$75,000+","Female","65+","postgraduate","July","2012","Kaiser"
1,0,0,"MI","White","$75,000+","Male","45-64","college graduate","July","2012","Kaiser"
1,1,1,"IL","Black","$40,000-$75,000","Female","30-44","some college","July","2012","Kaiser"
1,0,1,"IL","Black","$40,000-$75,000","Female","65+","postgraduate","July","2012","Kaiser"
0,1,0,"WI","White","$40,000-$75,000","Male","65+","college graduate","July","2012","Kaiser"
0,0,0,"IN","Hispanic","$20,000-$40,000","Male","65+","high school graduate","July","2012","Kaiser"
0,1,0,"WI","White",NA,"Female","65+","some college","July","2012","Kaiser"
1,0,1,"WI","White","$75,000+","Male","65+","postgraduate","July","2012","Kaiser"
0,1,0,"IL","Hispanic","$75,000+","Female",NA,"college graduate","July","2012","Kaiser"
0,NA,0,"MO",NA,"$75,000+","Female","45-64","college graduate","July","2012","Kaiser"
0,0,1,"WI","White","$40,000-$75,000","Male","45-64","high school graduate","July","2012","Kaiser"
1,0,0,"IA","White","$75,000+","Male","30-44","some college","July","2012","Kaiser"
0,1,0,"MI","White","$75,000+","Male","45-64","postgraduate","July","2012","Kaiser"
0,0,0,"MN","White","$75,000+","Female","45-64","postgraduate","July","2012","Kaiser"
1,0,1,"MO","White","$40,000-$75,000","Female","65+","college graduate","July","2012","Kaiser"
1,0,NA,"TN","White","$75,000+","Female","30-44","some college","July","2012","Kaiser"
1,0,NA,"KS","White","$20,000-$40,000","Male","65+","high school graduate","July","2012","Kaiser"
1,0,1,"KY","White","$40,000-$75,000","Female","45-64","some college","July","2012","Kaiser"
0,1,0,"TN","White","$20,000-$40,000","Male","45-64","college graduate","July","2012","Kaiser"
0,0,0,"PA","White","$40,000-$75,000","Male","65+","high school graduate","July","2012","Kaiser"
0,0,0,"MI","White","less than $20,000","Female","45-64","postgraduate","July","2012","Kaiser"
0,NA,0,"MI","White","$75,000+","Male","65+","postgraduate","July","2012","Kaiser"
0,1,0,"MO","White","$40,000-$75,000","Male","30-44","college graduate","July","2012","Kaiser"
0,0,NA,"AL","White","$20,000-$40,000","Male","65+","high school graduate","July","2012","Kaiser"
0,1,0,"FL","White","$40,000-$75,000","Male","30-44","college graduate","July","2012","Kaiser"
NA,0,0,"IA","White","less than $20,000","Female","65+","some college","July","2012","Kaiser"
1,0,1,"MO","White","$20,000-$40,000","Male","65+","some college","July","2012","Kaiser"
0,1,0,"TX","White","$75,000+","Male","45-64","postgraduate","July","2012","Kaiser"
0,0,0,"LA","White","$75,000+","Male","45-64","postgraduate","July","2012","Kaiser"
0,1,0,"TX","White","$20,000-$40,000","Male","45-64","some college","July","2012","Kaiser"
1,0,1,"MD","Black","$40,000-$75,000","Male","45-64","some college","July","2012","Kaiser"
0,0,1,"TX","White",NA,"Male","30-44","high school graduate","July","2012","Kaiser"
NA,0,1,"AZ","White","$20,000-$40,000","Male","45-64","some college","July","2012","Kaiser"
0,0,0,"CA","White","$75,000+","Male","45-64","college graduate","July","2012","Kaiser"
1,0,1,"WA","White","less than $20,000","Female","65+","less than a high school education","July","2012","Kaiser"
0,1,NA,"ID","White","$40,000-$75,000","Male","45-64","postgraduate","July","2012","Kaiser"
0,1,0,"WA","White","$75,000+","Male","45-64","college graduate","July","2012","Kaiser"
0,1,1,"CA","White","$20,000-$40,000","Male","45-64","high school graduate","July","2012","Kaiser"
1,0,0,"CA","White","$75,000+","Female","45-64","college graduate","July","2012","Kaiser"
0,1,NA,"CA","White","$75,000+","Male","65+","college graduate","July","2012","Kaiser"
NA,1,0,"CA","White","$75,000+","Male","45-64","college graduate","July","2012","Kaiser"
1,0,0,"CA","White","$40,000-$75,000","Male","45-64","postgraduate","July","2012","Kaiser"
0,0,0,"NC","White","$20,000-$40,000","Male","45-64","some college","July","2012","Kaiser"
0,1,1,"WV","White","$20,000-$40,000","Female","45-64","some college","July","2012","Kaiser"
0,0,0,"FL","Other","$75,000+","Male","65+","less than a high school education","July","2012","Kaiser"
0,NA,1,"GA","White","$40,000-$75,000","Male","45-64","less than a high school education","July","2012","Kaiser"
0,0,0,"FL","White","$75,000+","Female","45-64","some college","July","2012","Kaiser"
NA,1,0,"GA","White","less than $20,000","Female","65+","high school graduate","July","2012","Kaiser"
1,0,NA,"SC","Black","$20,000-$40,000","Female","65+","college graduate","July","2012","Kaiser"
0,0,0,"GA","White",NA,"Male","30-44","less than a high school education","July","2012","Kaiser"
1,0,1,"NC","White",NA,"Male","45-64","high school graduate","July","2012","Kaiser"
1,0,1,"FL","White","$75,000+","Female","65+","postgraduate","July","2012","Kaiser"
1,0,1,"VA","White","$75,000+","Male","65+","postgraduate","July","2012","Kaiser"
0,0,0,"GA","White",NA,"Female","65+","high school graduate","July","2012","Kaiser"
1,0,1,"GA","White","$75,000+","Male","30-44","college graduate","July","2012","Kaiser"
0,1,0,"VA",NA,NA,"Male",NA,NA,"July","2012","Kaiser"
NA,0,0,"FL","Other","$75,000+","Male","45-64","college graduate","July","2012","Kaiser"
1,0,1,"GA","Black","$40,000-$75,000","Female","45-64","some college","July","2012","Kaiser"
NA,0,0,"SC","Black","less than $20,000","Female","65+","high school graduate","July","2012","Kaiser"
0,1,1,"FL","White","$20,000-$40,000","Female","45-64","some college","July","2012","Kaiser"
NA,0,1,"FL","White","$20,000-$40,000","Female","18-29","some college","July","2012","Kaiser"
1,0,NA,"PA","White",NA,"Male","65+","high school graduate","July","2012","Kaiser"
0,0,NA,"FL","White","$40,000-$75,000","Female","45-64","high school graduate","July","2012","Kaiser"
0,1,NA,"NC","White","$40,000-$75,000","Female","65+","postgraduate","July","2012","Kaiser"
1,0,1,"FL","White","$40,000-$75,000","Male","65+","postgraduate","July","2012","Kaiser"
NA,0,1,"PA","White","$75,000+","Female","45-64","high school graduate","July","2012","Kaiser"
0,NA,NA,"NY","White",NA,"Female","65+","college graduate","July","2012","Kaiser"
1,0,1,"NY","White","$40,000-$75,000","Female","45-64","high school graduate","July","2012","Kaiser"
0,1,0,"GA","White","$75,000+","Male","45-64","some college","July","2012","Kaiser"
1,0,1,"NY","White","$75,000+","Male","45-64","postgraduate","July","2012","Kaiser"
0,1,0,"PA","Other","$40,000-$75,000","Male","65+","some college","July","2012","Kaiser"
0,1,0,"FL","White","$75,000+","Female","30-44","some college","July","2012","Kaiser"
NA,0,0,"PA","White","$75,000+","Female","30-44","college graduate","July","2012","Kaiser"
NA,0,0,"NJ","Black","less than $20,000","Female","45-64","high school graduate","July","2012","Kaiser"
0,1,0,"PA","White","$40,000-$75,000","Male","65+","postgraduate","July","2012","Kaiser"
