"aca.fav","exp.medicaid","state","race","income","sex","age","education","month","year","polling.org"
1,1,"NY","Hispanic","$40,000-$75,000","Female","45-64","postgraduate","March","2013","Kaiser"
NA,1,"FL","Hispanic","$75,000+","Male","30-44","postgraduate","March","2013","Kaiser"
NA,1,"PA","White","less than $20,000","Female","45-64","high school graduate","March","2013","Kaiser"
1,1,"MA","White","$75,000+","Female","65+","college graduate","March","2013","Kaiser"
1,1,"PA","White","$40,000-$75,000","Male","65+","high school graduate","March","2013","Kaiser"
1,1,"MN","White","$75,000+","Male","65+","postgraduate","March","2013","Kaiser"
1,0,"ND","White","$40,000-$75,000","Male","65+","postgraduate","March","2013","Kaiser"
NA,0,"MS","White",NA,"Female","45-64","college graduate","March","2013","Kaiser"
1,1,"IL","White","$20,000-$40,000","Female","45-64","some college","March","2013","Kaiser"
0,1,"MN","Hispanic","$20,000-$40,000","Male","30-44","high school graduate","March","2013","Kaiser"
0,0,"AL","White","$20,000-$40,000","Female","65+","high school graduate","March","2013","Kaiser"
NA,NA,"IL","White",NA,"Female","65+","high school graduate","March","2013","Kaiser"
NA,0,"KY","White","less than $20,000","Male","18-29","less than a high school education","March","2013","Kaiser"
NA,NA,"NY","White","$75,000+","Female","45-64","some college","March","2013","Kaiser"
0,0,"AL","White","less than $20,000","Male","65+","less than a high school education","March","2013","Kaiser"
1,0,"TX","White","$20,000-$40,000","Male","65+","less than a high school education","March","2013","Kaiser"
1,1,"TX","White","$20,000-$40,000","Female","65+","some college","March","2013","Kaiser"
NA,NA,"AR","White",NA,"Female","65+","high school graduate","March","2013","Kaiser"
1,1,"NH","White","$40,000-$75,000","Female","45-64","college graduate","March","2013","Kaiser"
0,1,"IN","White","$75,000+","Female","45-64","high school graduate","March","2013","Kaiser"
1,1,"GA","Hispanic","less than $20,000","Female","18-29","high school graduate","March","2013","Kaiser"
0,1,"MA","Hispanic","$75,000+","Female","45-64","college graduate","March","2013","Kaiser"
1,1,"FL","White","$75,000+","Female","45-64","postgraduate","March","2013","Kaiser"
0,0,"TX","White","$75,000+","Male","45-64","college graduate","March","2013","Kaiser"
0,0,"IL","White","$75,000+","Female","45-64","postgraduate","March","2013","Kaiser"
1,1,"MA","White","less than $20,000","Female","45-64","college graduate","March","2013","Kaiser"
1,1,"NY","Black","$75,000+","Male","30-44","college graduate","March","2013","Kaiser"
0,0,"NY","White","$75,000+","Female","45-64","postgraduate","March","2013","Kaiser"
0,0,"NY","White",NA,"Male","65+","high school graduate","March","2013","Kaiser"
1,1,"NJ","Black","$40,000-$75,000","Female","65+","high school graduate","March","2013","Kaiser"
NA,0,"GA","White","$40,000-$75,000","Female","45-64","postgraduate","March","2013","Kaiser"
NA,NA,"IN","White","$75,000+","Male","45-64","high school graduate","March","2013","Kaiser"
0,0,"PA",NA,NA,"Male","45-64","some college","March","2013","Kaiser"
1,1,"MD","Other","$75,000+","Female","30-44","postgraduate","March","2013","Kaiser"
1,1,"GA","White","$40,000-$75,000","Female","45-64","postgraduate","March","2013","Kaiser"
NA,0,"FL","White","$75,000+","Female","45-64","postgraduate","March","2013","Kaiser"
0,0,"OH","White",NA,"Female","45-64","college graduate","March","2013","Kaiser"
1,1,"NY","White","$20,000-$40,000","Male","45-64","high school graduate","March","2013","Kaiser"
1,1,"SC","Black",NA,"Female","65+","postgraduate","March","2013","Kaiser"
1,1,"NJ","White",NA,"Female","45-64","college graduate","March","2013","Kaiser"
NA,NA,"FL","White","$40,000-$75,000","Male","65+","college graduate","March","2013","Kaiser"
0,1,"IN","White","$40,000-$75,000","Male","45-64","high school graduate","March","2013","Kaiser"
1,NA,"NJ","White","$75,000+","Male","65+","college graduate","March","2013","Kaiser"
0,0,"MI","White","less than $20,000","Female","65+","some college","March","2013","Kaiser"
0,0,"VA","White",NA,"Female","45-64","postgraduate","March","2013","Kaiser"
0,1,"NY","Other","$40,000-$75,000","Female","30-44","some college","March","2013","Kaiser"
1,NA,"OH","White","$40,000-$75,000","Female","30-44","postgraduate","March","2013","Kaiser"
NA,1,"NY","White","$75,000+","Male","45-64","college graduate","March","2013","Kaiser"
1,1,"IN","White","$20,000-$40,000","Male","65+","college graduate","March","2013","Kaiser"
1,1,"NY","Black","$20,000-$40,000","Male","45-64","some college","March","2013","Kaiser"
NA,1,"PA","White","less than $20,000","Female","65+","high school graduate","March","2013","Kaiser"
0,0,"TN","White","$40,000-$75,000","Female","45-64","college graduate","March","2013","Kaiser"
1,1,"PA","Black","$40,000-$75,000","Female","30-44","some college","March","2013","Kaiser"
0,0,"CT","White","$75,000+","Male","45-64","postgraduate","March","2013","Kaiser"
0,1,"FL","White","$20,000-$40,000","Female","65+","high school graduate","March","2013","Kaiser"
0,0,"FL","White",NA,"Male","65+","college graduate","March","2013","Kaiser"
0,1,"NY","White","less than $20,000","Female","65+","high school graduate","March","2013","Kaiser"
NA,1,"NY","White","$40,000-$75,000","Female","65+","some college","March","2013","Kaiser"
0,1,"NY","White","$20,000-$40,000","Female","18-29","high school graduate","March","2013","Kaiser"
0,0,"TN","White","less than $20,000","Female","65+","some college","March","2013","Kaiser"
0,1,"NC","Black","$20,000-$40,000","Male","45-64","high school graduate","March","2013","Kaiser"
NA,1,"SC","White","$40,000-$75,000","Female","45-64","postgraduate","March","2013","Kaiser"
NA,1,"CA","Hispanic",NA,"Male","65+","less than a high school education","March","2013","Kaiser"
1,NA,"OH","Other",NA,"Female","18-29","college graduate","March","2013","Kaiser"
1,1,"FL","White","$20,000-$40,000","Male","65+","some college","March","2013","Kaiser"
1,1,"NJ","Hispanic",NA,"Male","30-44","postgraduate","March","2013","Kaiser"
0,0,"IN","White","less than $20,000","Female","65+",NA,"March","2013","Kaiser"
0,0,"PA","White","$75,000+","Male","45-64","college graduate","March","2013","Kaiser"
NA,0,"VA","Other","$75,000+","Male","30-44","postgraduate","March","2013","Kaiser"
0,0,"OH","White",NA,"Male","65+","college graduate","March","2013","Kaiser"
0,0,"MI","White","$75,000+","Male","45-64","college graduate","March","2013","Kaiser"
0,NA,"NY","White","$75,000+","Male","45-64","postgraduate","March","2013","Kaiser"
0,NA,"UT","White","$20,000-$40,000","Male","65+","high school graduate","March","2013","Kaiser"
0,0,"MO","White",NA,"Male","65+","college graduate","March","2013","Kaiser"
NA,0,"SD","White","$75,000+","Male","65+","high school graduate","March","2013","Kaiser"
NA,NA,"WV","White","$20,000-$40,000","Female","30-44","high school graduate","March","2013","Kaiser"
NA,0,"MS","White","$40,000-$75,000","Male","65+","college graduate","March","2013","Kaiser"
NA,0,"PA","White","$20,000-$40,000","Female","45-64","high school graduate","March","2013","Kaiser"
0,1,"NE","White","$20,000-$40,000","Female","65+","some college","March","2013","Kaiser"
NA,1,"FL","Black","$20,000-$40,000","Female","65+","high school graduate","March","2013","Kaiser"
1,1,"PA","White","$20,000-$40,000","Female","45-64","college graduate","March","2013","Kaiser"
1,1,"NJ","Black","$75,000+","Female","45-64","some college","March","2013","Kaiser"
1,1,"VT","White","$40,000-$75,000","Female","65+","some college","March","2013","Kaiser"
1,1,"TX","White",NA,"Female","65+",NA,"March","2013","Kaiser"
0,1,"TX","Black","less than $20,000","Female","45-64","high school graduate","March","2013","Kaiser"
0,1,"MN","White","$40,000-$75,000","Male","30-44","some college","March","2013","Kaiser"
NA,1,"OK","Hispanic","less than $20,000","Female","18-29","some college","March","2013","Kaiser"
0,NA,"AL","White","$20,000-$40,000","Female","45-64","high school graduate","March","2013","Kaiser"
0,1,"MO","Black","less than $20,000","Female","65+","less than a high school education","March","2013","Kaiser"
NA,0,"MN","White","$75,000+","Male","45-64","college graduate","March","2013","Kaiser"
1,0,"AL","White","$75,000+","Female","65+","high school graduate","March","2013","Kaiser"
1,1,"MN","White","$40,000-$75,000","Female","45-64","some college","March","2013","Kaiser"
1,1,"TX","White","$20,000-$40,000","Female","45-64","some college","March","2013","Kaiser"
0,0,"CO","White","$40,000-$75,000","Male","65+","some college","March","2013","Kaiser"
0,0,"CO","White","$20,000-$40,000","Female","30-44","some college","March","2013","Kaiser"
0,1,"TX","White","$40,000-$75,000","Female","18-29","some college","March","2013","Kaiser"
0,NA,"ND","White","$40,000-$75,000","Male","45-64","postgraduate","March","2013","Kaiser"
1,1,"CA","Hispanic","less than $20,000","Female","30-44","less than a high school education","March","2013","Kaiser"
NA,1,"OK","Other","less than $20,000","Female","45-64","high school graduate","March","2013","Kaiser"
NA,0,"AL","White","less than $20,000","Female","65+","less than a high school education","March","2013","Kaiser"
1,1,"TN","Black","$40,000-$75,000","Male","45-64","college graduate","March","2013","Kaiser"
0,0,"AZ","White","$20,000-$40,000","Female","65+","postgraduate","March","2013","Kaiser"
1,1,"HI","White","$75,000+","Male","65+","some college","March","2013","Kaiser"
1,1,"WA","White","$75,000+","Male","45-64","postgraduate","March","2013","Kaiser"
0,NA,"NM","Hispanic","$20,000-$40,000","Female","65+","some college","March","2013","Kaiser"
NA,1,"CA","White","$75,000+","Female","45-64","postgraduate","March","2013","Kaiser"
0,0,"CA","Other","$75,000+","Male","45-64","college graduate","March","2013","Kaiser"
1,0,"CA","White","$40,000-$75,000","Female","65+","some college","March","2013","Kaiser"
0,NA,"CA","White","$75,000+","Female","45-64","some college","March","2013","Kaiser"
1,0,"CA","Hispanic","$20,000-$40,000","Male","45-64","postgraduate","March","2013","Kaiser"
1,1,"CA","Other","$75,000+","Male","45-64","postgraduate","March","2013","Kaiser"
1,1,"CA","Hispanic","$20,000-$40,000","Male","30-44","high school graduate","March","2013","Kaiser"
1,1,"CA","White",NA,"Male","65+","postgraduate","March","2013","Kaiser"
1,1,"CA","Hispanic","$40,000-$75,000","Male","45-64","less than a high school education","March","2013","Kaiser"
0,1,"CA","Hispanic","less than $20,000","Male","65+","less than a high school education","March","2013","Kaiser"
1,1,"CA","White","$40,000-$75,000","Male","45-64","high school graduate","March","2013","Kaiser"
0,0,"CO",NA,NA,"Male","45-64","postgraduate","March","2013","Kaiser"
1,1,"CA","White","$20,000-$40,000","Male","45-64","college graduate","March","2013","Kaiser"
0,0,"NV","White","$75,000+","Female","45-64","some college","March","2013","Kaiser"
0,0,"NV","White",NA,"Male","18-29","high school graduate","March","2013","Kaiser"
0,0,"CA","White","$75,000+","Male","30-44","postgraduate","March","2013","Kaiser"
1,1,"CA","Hispanic","$20,000-$40,000","Male","30-44","less than a high school education","March","2013","Kaiser"
1,1,"PA","White","$75,000+","Female","45-64","postgraduate","March","2013","Kaiser"
0,0,"NY",NA,NA,"Male","45-64","postgraduate","March","2013","Kaiser"
0,NA,"FL","White","$40,000-$75,000","Female","45-64","postgraduate","March","2013","Kaiser"
1,1,"RI","White","$75,000+","Female","30-44","some college","March","2013","Kaiser"
1,0,"TN","White","$40,000-$75,000","Female","45-64","high school graduate","March","2013","Kaiser"
0,0,"OH","Black",NA,"Female","65+","less than a high school education","March","2013","Kaiser"
0,0,"OH","White","$75,000+","Female","45-64","some college","March","2013","Kaiser"
0,0,"OH","White","$40,000-$75,000","Female","45-64","high school graduate","March","2013","Kaiser"
1,1,"IN","Black","less than $20,000","Female","45-64","some college","March","2013","Kaiser"
0,0,"IN","White","$75,000+","Male","30-44","some college","March","2013","Kaiser"
0,NA,"PA","White","$20,000-$40,000","Female","65+","high school graduate","March","2013","Kaiser"
1,1,"NY","Hispanic",NA,"Female","45-64","college graduate","March","2013","Kaiser"
1,0,"NY","White","$20,000-$40,000","Female","65+","some college","March","2013","Kaiser"
0,0,"NC","White","$40,000-$75,000","Female","65+","college graduate","March","2013","Kaiser"
0,1,"GA","White","$75,000+","Female","65+","some college","March","2013","Kaiser"
0,0,"NJ","White","$75,000+","Male","45-64","college graduate","March","2013","Kaiser"
NA,0,"NC","Black","less than $20,000","Female","65+","high school graduate","March","2013","Kaiser"
1,1,"NC","Black","$20,000-$40,000","Female","45-64","some college","March","2013","Kaiser"
1,1,"VA","White","$75,000+","Female","65+","college graduate","March","2013","Kaiser"
1,1,"VA","White","$20,000-$40,000","Male","45-64","high school graduate","March","2013","Kaiser"
0,NA,"VA","White","$75,000+","Female","30-44","college graduate","March","2013","Kaiser"
1,0,"KY","White","less than $20,000","Male","45-64","some college","March","2013","Kaiser"
1,0,"MA","White","$40,000-$75,000","Female","65+","postgraduate","March","2013","Kaiser"
NA,NA,"TN","White","$40,000-$75,000","Female","30-44","some college","March","2013","Kaiser"
1,1,"PA","Black","$75,000+","Female","45-64","postgraduate","March","2013","Kaiser"
0,0,"KS","White",NA,"Female","65+","college graduate","March","2013","Kaiser"
1,1,"LA","Black","$40,000-$75,000","Female","30-44","college graduate","March","2013","Kaiser"
1,0,"MN","White","$40,000-$75,000","Male","65+","less than a high school education","March","2013","Kaiser"
NA,0,"IL","White","$75,000+","Female","45-64","some college","March","2013","Kaiser"
1,1,"KS","White","$20,000-$40,000","Male","30-44","high school graduate","March","2013","Kaiser"
1,1,"MN","White","$40,000-$75,000","Male","65+","postgraduate","March","2013","Kaiser"
0,0,"TN","White","$75,000+","Female","45-64","college graduate","March","2013","Kaiser"
0,1,"IA","White","$40,000-$75,000","Female","45-64","some college","March","2013","Kaiser"
1,1,"TX","Hispanic","$20,000-$40,000","Female","30-44","high school graduate","March","2013","Kaiser"
NA,1,"SC","White","$20,000-$40,000","Female","65+","high school graduate","March","2013","Kaiser"
NA,1,"WY","White","$20,000-$40,000","Female","30-44","less than a high school education","March","2013","Kaiser"
1,0,"CO","White","$75,000+","Female","45-64","high school graduate","March","2013","Kaiser"
1,1,"AZ","Hispanic","$40,000-$75,000","Male","45-64",NA,"March","2013","Kaiser"
1,1,"OH","Black","$75,000+","Female","45-64","high school graduate","March","2013","Kaiser"
1,1,"WA","White","$75,000+","Male","45-64","some college","March","2013","Kaiser"
1,1,"OR","White","$40,000-$75,000","Male","30-44","college graduate","March","2013","Kaiser"
NA,0,"CA","White","$40,000-$75,000","Female","45-64","high school graduate","March","2013","Kaiser"
NA,1,"CA",NA,"less than $20,000","Male","65+","some college","March","2013","Kaiser"
1,NA,"CA",NA,"$40,000-$75,000","Female","45-64","postgraduate","March","2013","Kaiser"
1,1,"CA","Hispanic","$20,000-$40,000","Female","18-29","high school graduate","March","2013","Kaiser"
NA,1,"OR","White","less than $20,000","Female","45-64","high school graduate","March","2013","Kaiser"
0,0,"WA","White","$20,000-$40,000","Female","30-44","college graduate","March","2013","Kaiser"
0,1,"CA","Hispanic","$20,000-$40,000","Male","45-64","less than a high school education","March","2013","Kaiser"
0,0,"MD","White","$75,000+","Female","65+","some college","March","2013","Kaiser"
0,0,"TX","White","$40,000-$75,000","Female","45-64","postgraduate","March","2013","Kaiser"
1,1,"NY","Hispanic","less than $20,000","Male","18-29","some college","March","2013","Kaiser"
1,NA,"CA","White","$75,000+","Female","65+","postgraduate","March","2013","Kaiser"
NA,0,"MI","White","$20,000-$40,000","Female","45-64","high school graduate","March","2013","Kaiser"
0,0,"TX","White","$40,000-$75,000","Female","65+","college graduate","March","2013","Kaiser"
0,0,"WI","White","$75,000+","Male","45-64","high school graduate","March","2013","Kaiser"
0,0,"TX","White","$40,000-$75,000","Female","45-64","postgraduate","March","2013","Kaiser"
0,0,"MO","White","$75,000+","Female","30-44","college graduate","March","2013","Kaiser"
NA,1,"TX","Hispanic","less than $20,000","Female","45-64","less than a high school education","March","2013","Kaiser"
1,1,"WI","White","$75,000+","Female","30-44","some college","March","2013","Kaiser"
NA,1,"TX","White","$75,000+","Female","30-44","some college","March","2013","Kaiser"
0,0,"TX",NA,NA,"Female","45-64","postgraduate","March","2013","Kaiser"
1,0,"IL","White",NA,"Female","65+","high school graduate","March","2013","Kaiser"
NA,0,"WA","White","$75,000+","Female","45-64","some college","March","2013","Kaiser"
0,0,"AZ","White","$75,000+","Female","65+","college graduate","March","2013","Kaiser"
NA,0,"CA","Hispanic",NA,"Female","30-44","less than a high school education","March","2013","Kaiser"
1,1,"CA","White","$75,000+","Male","45-64","postgraduate","March","2013","Kaiser"
1,1,"CA",NA,"$40,000-$75,000","Female","45-64","postgraduate","March","2013","Kaiser"
NA,1,"WA","White","$20,000-$40,000","Male","65+","college graduate","March","2013","Kaiser"
1,0,"CA","White","$75,000+","Male","30-44","postgraduate","March","2013","Kaiser"
1,0,"OH","White","$40,000-$75,000","Female","45-64","college graduate","March","2013","Kaiser"
1,1,"NC","Black",NA,"Male","45-64","college graduate","March","2013","Kaiser"
1,1,"NC","Black","less than $20,000","Female","65+","less than a high school education","March","2013","Kaiser"
1,1,"GA","Other",NA,"Male","18-29","high school graduate","March","2013","Kaiser"
0,0,"GA","White","$20,000-$40,000","Female","45-64","postgraduate","March","2013","Kaiser"
0,0,"NC","White","$40,000-$75,000","Male","45-64","high school graduate","March","2013","Kaiser"
1,0,"FL","White",NA,"Female","65+","college graduate","March","2013","Kaiser"
0,1,"TN","White","$40,000-$75,000","Male","30-44","high school graduate","March","2013","Kaiser"
1,1,"NY","Hispanic","$40,000-$75,000","Male","18-29","some college","March","2013","Kaiser"
0,0,"TN","White",NA,"Female","65+","postgraduate","March","2013","Kaiser"
NA,1,"GA","White","$40,000-$75,000","Female","30-44","some college","March","2013","Kaiser"
NA,0,"NJ","White","$75,000+","Male","45-64","high school graduate","March","2013","Kaiser"
1,1,"NY","Other","$20,000-$40,000","Female","30-44","some college","March","2013","Kaiser"
0,0,"MI","White","$75,000+","Male","65+","high school graduate","March","2013","Kaiser"
1,1,"MD","Black","$75,000+","Male","45-64","college graduate","March","2013","Kaiser"
0,NA,"CT","White","$75,000+","Male","45-64","college graduate","March","2013","Kaiser"
0,0,"OH","White","$75,000+","Male","45-64","postgraduate","March","2013","Kaiser"
1,1,"MI","White","less than $20,000","Female","45-64","some college","March","2013","Kaiser"
1,1,"PA","White","$40,000-$75,000","Female","45-64","college graduate","March","2013","Kaiser"
1,1,"IN","White","$75,000+","Female","45-64","college graduate","March","2013","Kaiser"
0,0,"PA","White","$20,000-$40,000","Male","65+","postgraduate","March","2013","Kaiser"
1,1,"GA","White","$75,000+","Female","65+","postgraduate","March","2013","Kaiser"
1,1,"NJ","Black","$75,000+","Female","45-64","some college","March","2013","Kaiser"
0,0,"CT","White","$40,000-$75,000","Female","65+","postgraduate","March","2013","Kaiser"
NA,0,"NC","White","$20,000-$40,000","Female","65+","less than a high school education","March","2013","Kaiser"
1,1,"PA","White","$75,000+","Male","65+","postgraduate","March","2013","Kaiser"
0,0,"OH","White","$40,000-$75,000","Female","45-64","college graduate","March","2013","Kaiser"
0,0,"NC","White","$20,000-$40,000","Male","45-64","less than a high school education","March","2013","Kaiser"
1,0,"SC","White","$75,000+","Female","65+","postgraduate","March","2013","Kaiser"
0,0,"FL","White","$20,000-$40,000","Female","65+","less than a high school education","March","2013","Kaiser"
0,0,"SC","White","$40,000-$75,000","Female","65+","high school graduate","March","2013","Kaiser"
1,1,"NC",NA,"$40,000-$75,000","Female","45-64","college graduate","March","2013","Kaiser"
1,1,"PA","White",NA,"Male","65+","some college","March","2013","Kaiser"
1,1,"OH","White","$20,000-$40,000","Female","45-64","postgraduate","March","2013","Kaiser"
NA,1,"NJ","White","less than $20,000","Female","45-64","high school graduate","March","2013","Kaiser"
0,0,"GA","White","$20,000-$40,000","Female","45-64","high school graduate","March","2013","Kaiser"
NA,0,"NY","White","$40,000-$75,000","Female","65+","high school graduate","March","2013","Kaiser"
0,0,"NC","White","$75,000+","Male","45-64","some college","March","2013","Kaiser"
1,1,"IL","White","$75,000+","Male","18-29","postgraduate","March","2013","Kaiser"
0,NA,"MO","White",NA,"Male","45-64","postgraduate","March","2013","Kaiser"
0,1,"OK","White","less than $20,000","Male","65+","high school graduate","March","2013","Kaiser"
1,1,"TX","Hispanic","$40,000-$75,000","Male","30-44","college graduate","March","2013","Kaiser"
1,1,"MN","Hispanic","$40,000-$75,000","Male","45-64","less than a high school education","March","2013","Kaiser"
0,NA,"AL","White","$40,000-$75,000","Female","65+","some college","March","2013","Kaiser"
1,1,"MS","White","$20,000-$40,000","Female","30-44","some college","March","2013","Kaiser"
0,0,"KS","Other","$20,000-$40,000","Female","45-64","some college","March","2013","Kaiser"
NA,0,"KY","Black","$40,000-$75,000","Male","45-64","postgraduate","March","2013","Kaiser"
NA,0,"MS","White",NA,"Male","30-44","some college","March","2013","Kaiser"
1,1,"IL","White","$20,000-$40,000","Male","18-29","high school graduate","March","2013","Kaiser"
1,1,"MS","Black","$75,000+","Female","45-64","postgraduate","March","2013","Kaiser"
0,0,"MO","White",NA,"Male","65+","some college","March","2013","Kaiser"
0,0,"IL","White","$40,000-$75,000","Female","30-44","postgraduate","March","2013","Kaiser"
1,1,"WA","Black","$20,000-$40,000","Female","65+","postgraduate","March","2013","Kaiser"
0,0,"WI","White","$75,000+","Female","65+","postgraduate","March","2013","Kaiser"
1,0,"MS","White","$40,000-$75,000","Female","65+","some college","March","2013","Kaiser"
0,1,"OK","Hispanic","less than $20,000","Female","45-64","less than a high school education","March","2013","Kaiser"
0,1,"CA","White","$40,000-$75,000","Male","65+","postgraduate","March","2013","Kaiser"
0,0,"GA","White","$75,000+","Male","65+","postgraduate","March","2013","Kaiser"
NA,0,"FL","White","less than $20,000","Female","65+","high school graduate","March","2013","Kaiser"
1,1,"MA","White","$75,000+","Female","45-64","postgraduate","March","2013","Kaiser"
1,1,"TX","White","$40,000-$75,000","Male","65+","college graduate","March","2013","Kaiser"
1,1,"TX","White","$75,000+","Male","18-29","college graduate","March","2013","Kaiser"
0,0,"KS","White","$75,000+","Female","65+","some college","March","2013","Kaiser"
NA,NA,"GA","Black","less than $20,000","Female","65+","some college","March","2013","Kaiser"
1,1,"ME","White","$75,000+","Female","65+","postgraduate","March","2013","Kaiser"
1,1,"OK","White","$75,000+","Female","65+","postgraduate","March","2013","Kaiser"
0,0,"SD","White","$40,000-$75,000","Female","65+","high school graduate","March","2013","Kaiser"
1,1,"WV","White","$40,000-$75,000","Female","45-64","some college","March","2013","Kaiser"
NA,1,"TN","Black","less than $20,000","Male","45-64","high school graduate","March","2013","Kaiser"
NA,1,"CA","White","less than $20,000","Male","65+","postgraduate","March","2013","Kaiser"
NA,0,"KY","White",NA,"Female","65+","some college","March","2013","Kaiser"
0,NA,"CA","White",NA,"Female","45-64","postgraduate","March","2013","Kaiser"
NA,0,"FL","Hispanic","less than $20,000","Female","65+","high school graduate","March","2013","Kaiser"
1,1,"FL","Hispanic","$40,000-$75,000","Female","45-64","college graduate","March","2013","Kaiser"
0,0,"OK","White","$40,000-$75,000","Female","45-64","college graduate","March","2013","Kaiser"
1,0,"MA","White","less than $20,000","Female","45-64","some college","March","2013","Kaiser"
0,0,"AL","White","$40,000-$75,000","Male","18-29","some college","March","2013","Kaiser"
NA,1,"AZ","White","$40,000-$75,000","Female","65+","college graduate","March","2013","Kaiser"
NA,1,"NV","White","$20,000-$40,000","Female","45-64","high school graduate","March","2013","Kaiser"
1,1,"PA","White","$75,000+","Male","30-44","high school graduate","March","2013","Kaiser"
NA,1,"AZ","White","less than $20,000","Male","30-44","some college","March","2013","Kaiser"
1,1,"FL","Black","$40,000-$75,000","Male","30-44","college graduate","March","2013","Kaiser"
1,1,"OH",NA,NA,"Female","45-64","high school graduate","March","2013","Kaiser"
1,1,"OH","White","less than $20,000","Female","45-64","some college","March","2013","Kaiser"
0,1,"FL","White","$75,000+","Female","65+","postgraduate","March","2013","Kaiser"
0,0,"PA","White","$40,000-$75,000","Female","30-44","college graduate","March","2013","Kaiser"
1,0,"NC","Black","less than $20,000","Male","45-64","less than a high school education","March","2013","Kaiser"
NA,0,"NC","White","$40,000-$75,000","Male","45-64","high school graduate","March","2013","Kaiser"
0,0,"VA","White","$75,000+","Female","30-44","high school graduate","March","2013","Kaiser"
1,1,"NJ","Black","$40,000-$75,000","Female","45-64","high school graduate","March","2013","Kaiser"
0,0,"TX","Hispanic","$75,000+","Female","45-64","college graduate","March","2013","Kaiser"
1,0,"NC","White","$75,000+","Male","18-29","postgraduate","March","2013","Kaiser"
0,1,"TX","White","$75,000+","Male","30-44","high school graduate","March","2013","Kaiser"
0,0,"SD",NA,"$20,000-$40,000","Male","45-64","postgraduate","March","2013","Kaiser"
NA,0,"MD","Hispanic","$20,000-$40,000","Female","18-29","some college","March","2013","Kaiser"
0,0,"UT","White","$75,000+","Male","18-29","high school graduate","March","2013","Kaiser"
NA,1,"LA","White",NA,"Female","18-29","some college","March","2013","Kaiser"
1,1,"OH","Black","less than $20,000","Female","45-64","some college","March","2013","Kaiser"
NA,0,"OK","White","less than $20,000","Male","30-44","high school graduate","March","2013","Kaiser"
1,1,"AR","White","$40,000-$75,000","Male","18-29","some college","March","2013","Kaiser"
0,1,"TX","Hispanic","less than $20,000","Female","18-29","less than a high school education","March","2013","Kaiser"
0,0,"NJ","White","$20,000-$40,000","Male","45-64","high school graduate","March","2013","Kaiser"
0,0,"TN","White","$40,000-$75,000","Female","30-44","college graduate","March","2013","Kaiser"
1,1,"OH","White","$75,000+","Female","30-44","postgraduate","March","2013","Kaiser"
1,1,"FL","Black","$40,000-$75,000","Male","65+","high school graduate","March","2013","Kaiser"
NA,0,"TX","White","$75,000+","Female","30-44","college graduate","March","2013","Kaiser"
0,0,"TX","White","$40,000-$75,000","Female","65+","high school graduate","March","2013","Kaiser"
1,1,"TX","Hispanic","less than $20,000","Female","45-64","less than a high school education","March","2013","Kaiser"
0,0,"MS","White","$40,000-$75,000","Male","45-64","high school graduate","March","2013","Kaiser"
NA,0,"MD","White","$75,000+","Male","45-64","some college","March","2013","Kaiser"
NA,1,"FL","Black","$40,000-$75,000","Male","30-44","some college","March","2013","Kaiser"
1,1,"MN","White","$40,000-$75,000","Female","45-64","college graduate","March","2013","Kaiser"
0,1,"IN","White","$20,000-$40,000","Male","45-64","high school graduate","March","2013","Kaiser"
0,0,"AL","White","$40,000-$75,000","Male","45-64","some college","March","2013","Kaiser"
0,0,"CO","White","$20,000-$40,000","Male","45-64","college graduate","March","2013","Kaiser"
0,0,"TX","Hispanic","$40,000-$75,000","Female","65+","high school graduate","March","2013","Kaiser"
NA,1,"NC","Black","less than $20,000","Female","45-64","some college","March","2013","Kaiser"
0,NA,"KY","White","$40,000-$75,000","Male","45-64","some college","March","2013","Kaiser"
NA,1,"TX","Hispanic","$40,000-$75,000","Male","45-64","less than a high school education","March","2013","Kaiser"
1,0,"NE","White",NA,"Male","18-29","high school graduate","March","2013","Kaiser"
0,1,"IL","White","$40,000-$75,000","Female","18-29","some college","March","2013","Kaiser"
0,0,"UT","White","$75,000+","Male","30-44","some college","March","2013","Kaiser"
0,1,"SC","Black","less than $20,000","Female","45-64","high school graduate","March","2013","Kaiser"
NA,1,"MN","Hispanic","$20,000-$40,000","Male","18-29","high school graduate","March","2013","Kaiser"
1,1,"FL","Black","$40,000-$75,000","Female","18-29","college graduate","March","2013","Kaiser"
1,1,"NJ","Black","less than $20,000","Male","30-44","high school graduate","March","2013","Kaiser"
NA,0,"TX","White",NA,"Female","65+","less than a high school education","March","2013","Kaiser"
1,0,"TX","Hispanic","$20,000-$40,000","Male","18-29","some college","March","2013","Kaiser"
0,1,"CO","Black","$20,000-$40,000","Male","18-29","high school graduate","March","2013","Kaiser"
1,1,"IL","Hispanic","less than $20,000","Female","45-64","college graduate","March","2013","Kaiser"
1,1,"CO","White","$75,000+","Female","45-64","postgraduate","March","2013","Kaiser"
0,0,"CA","White",NA,"Female","30-44","college graduate","March","2013","Kaiser"
1,0,"VA","White","$40,000-$75,000","Female","45-64","postgraduate","March","2013","Kaiser"
1,0,"AZ","Hispanic","less than $20,000","Male","30-44","less than a high school education","March","2013","Kaiser"
0,0,"NM","White",NA,"Female","45-64","postgraduate","March","2013","Kaiser"
1,1,"NJ","Black","$20,000-$40,000","Male","45-64","postgraduate","March","2013","Kaiser"
